strain_name,sample_count,Percentage
B.1.524,59,0.001415059494857338
C.27,59,0.001415059494857338
B.1.344,58,0.0013910754356224679
AY.123.1,58,0.0013910754356224679
B.1.177.73,58,0.0013910754356224679
B.1.1.216,58,0.0013910754356224679
B.1.103,57,0.0013670913763875977
B.1.438.4,57,0.0013670913763875977
B.1.1.45,57,0.0013670913763875977
B.57,56,0.0013431073171527275
B.1.1.378,56,0.0013431073171527275
B.1.543,56,0.0013431073171527275
B.1.78,56,0.0013431073171527275
B.1.1.14,56,0.0013431073171527275
B.1.580,56,0.0013431073171527275
B.1.563,55,0.0013191232579178576
B.1.220,55,0.0013191232579178576
B.1.1.137,55,0.0013191232579178576
B.1.400.1,54,0.0012951391986829874
B.1.355,54,0.0012951391986829874
B.1.1.17,53,0.001271155139448117
AY.66,53,0.001271155139448117
B.1.348,53,0.001271155139448117
B.1.1.251,53,0.001271155139448117
B.27,53,0.001271155139448117
W.1,52,0.0012471710802132471
B.1.258.6,52,0.0012471710802132471
B.1.1.274,52,0.0012471710802132471
V.2,52,0.0012471710802132471
B.1.1.95,51,0.001223187020978377
B.1.293,51,0.001223187020978377
B.34,51,0.001223187020978377
B.1.1.123,51,0.001223187020978377
B.1.473,51,0.001223187020978377
B.1.507,51,0.001223187020978377
AY.55,51,0.001223187020978377
B.1.1.158,51,0.001223187020978377
B.1.560,51,0.001223187020978377
B.1.1.172,50,0.0011992029617435068
B.1.1.450,50,0.0011992029617435068
B.1.250,49,0.0011752189025086366
AY.50,48,0.0011512348432737665
AZ.2,48,0.0011512348432737665
AY.133,47,0.0011272507840388963
B.1.237,47,0.0011272507840388963
B.1.579,47,0.0011272507840388963
B.1.1.290,47,0.0011272507840388963
B.1.1.213,47,0.0011272507840388963
B.1.36.24,47,0.0011272507840388963
AA.8,46,0.0011032667248040264
B.1.213,46,0.0011032667248040264
B.15,46,0.0011032667248040264
B.1.119,46,0.0011032667248040264
B.1.177.89,46,0.0011032667248040264
B.1.460,45,0.0010792826655691562
AY.20.1,45,0.0010792826655691562
B.1.1.461,45,0.0010792826655691562
B.1.251,45,0.0010792826655691562
B.1.1.315,45,0.0010792826655691562
B.1.40,45,0.0010792826655691562
B.1.1.322,44,0.0010552986063342858
B.46,44,0.0010552986063342858
B.1.545,44,0.0010552986063342858
AY.122.2,44,0.0010552986063342858
V.1,43,0.0010313145470994159
B.1.153,43,0.0010313145470994159
B.1.36.20,43,0.0010313145470994159
Q.7,43,0.0010313145470994159
B.1.14,41,0.0009833464286296755
B.1.1.408,41,0.0009833464286296755
B.1.36.35,41,0.0009833464286296755
AY.22,41,0.0009833464286296755
B.1.1.168,41,0.0009833464286296755
B.1.258.23,41,0.0009833464286296755
B.1.9,41,0.0009833464286296755
B.1.437,40,0.0009593623693948055
B.1.546,40,0.0009593623693948055
N.4,40,0.0009593623693948055
B.1.1.244,39,0.0009353783101599352
B.1.214.2,39,0.0009353783101599352
B.1.1.40,39,0.0009353783101599352
B.1.350,39,0.0009353783101599352
B.1.282,39,0.0009353783101599352
B.26,39,0.0009353783101599352
AY.102,39,0.0009353783101599352
B.1.575.1,38,0.0009113942509250653
C.2.1,38,0.0009113942509250653
B.1.12,38,0.0009113942509250653
B.1.452,38,0.0009113942509250653
B.1.177.85,38,0.0009113942509250653
N.1,38,0.0009113942509250653
B.1.1.34,37,0.000887410191690195
AY.29.1,37,0.000887410191690195
B.1.489,37,0.000887410191690195
