strain_name,sample_count,Percentage
B.1.530,130,0.0031179277005331176
B.61,129,0.0030939436412982476
B.1.574,129,0.0030939436412982476
B.1.518,128,0.0030699595820633777
B.1.160.22,128,0.0030699595820633777
B.1.383,126,0.0030219914635936374
B.1.587,126,0.0030219914635936374
B.1.44,126,0.0030219914635936374
B.1.408,126,0.0030219914635936374
C.3,126,0.0030219914635936374
B.1.1.29,125,0.002998007404358767
A.6,125,0.002998007404358767
AY.16.1,125,0.002998007404358767
B.1.157,125,0.002998007404358767
B.1.177.83,125,0.002998007404358767
B.1.258.12,124,0.0029740233451238966
C.12,124,0.0029740233451238966
B.10,124,0.0029740233451238966
B.1.1.12,123,0.0029500392858890266
B.1.177.32,122,0.0029260552266541563
B.1.124,122,0.0029260552266541563
B.1.160.10,122,0.0029260552266541563
B.1.177.21,120,0.0028780871081844164
B.1.177.3,120,0.0028780871081844164
B.1.36.7,120,0.0028780871081844164
B.1.313,119,0.0028541030489495464
B.1.258.5,118,0.002830118989714676
B.1.381,118,0.002830118989714676
B.1.162,118,0.002830118989714676
B.1.1.115,118,0.002830118989714676
B.1.160.31,118,0.002830118989714676
AA.7,118,0.002830118989714676
B.1.469,117,0.002806134930479806
B.1.314,117,0.002806134930479806
B.1.521,117,0.002806134930479806
B.1.166,117,0.002806134930479806
AY.25.2,116,0.0027821508712449357
AY.79,116,0.0027821508712449357
C.23,116,0.0027821508712449357
B.1.541,116,0.0027821508712449357
AY.123,115,0.0027581668120100654
A.5,114,0.0027341827527751954
C.36,114,0.0027341827527751954
AA.4,113,0.0027101986935403255
AZ.2.1,112,0.002686214634305455
B.1.330,112,0.002686214634305455
B.35,112,0.002686214634305455
B.1.1.200,112,0.002686214634305455
B.1.160.20,112,0.002686214634305455
B.1.308,112,0.002686214634305455
